early_cs_per_min,early_vision_per_min,early_deaths_per_min,early_kill_participation,early_damage_share,early_solo_kills,early_objective_proximity,mid_cs_per_min,mid_vision_per_min,mid_deaths_per_min,mid_kill_participation,mid_damage_share,mid_solo_kills,mid_objective_proximity,late_cs_per_min,late_vision_per_min,late_deaths_per_min,late_kill_participation,late_damage_share,late_solo_kills,late_objective_proximity,early_first_blood_involved,puuid,match_id,patch,early_duration_min,mid_duration_min,late_duration_min,win,tier
8.449,0.4224,0.1056,0.1429,0.1739,0,0.0,5.7657,0.3559,0.2135,0.6154,0.2743,0.0,0.1,5.2154,0.1213,0.4245,0.2727,0.1555,0.0,0.0,0,tXEBgGgBjg34OaieRKyUmvL7r0_oU7fx-PPf4CZJHap1pCksq0YdbwWED8EtUGg-W5Zfex7sa3nQ1A,BR1_3277970162,16.17,9.469,14.049,16.49,0,DIAMOND
8.0936,0.3558,0.1779,0.2857,0.3477,1,0.0,7.2912,0.317,0.1057,0.6667,0.3715,0.0,0.125,6.572,0.2191,0.2191,0.5385,0.1921,0.0,0.0833,1,tXEBgGgBjg34OaieRKyUmvL7r0_oU7fx-PPf4CZJHap1pCksq0YdbwWED8EtUGg-W5Zfex7sa3nQ1A,BR1_3277943443,16.17,11.243,9.464,13.694,0,DIAMOND
6.2792,0.2446,0.1631,0.3,0.1247,1,0.0,8.7938,0.0,0.0,1.0,0.2864,1.0,0.0,,,,,,,,0,tXEBgGgBjg34OaieRKyUmvL7r0_oU7fx-PPf4CZJHap1pCksq0YdbwWED8EtUGg-W5Zfex7sa3nQ1A,BR1_3277819572,16.17,12.263,3.411,0.0,0,DIAMOND
8.8907,0.304,0.076,0.4444,0.1858,1,0.0,5.8276,0.1689,0.4223,0.4444,0.2536,0.0,0.3,9.4499,0.0,0.0,1.0,0.2071,0.0,0.4286,0,tXEBgGgBjg34OaieRKyUmvL7r0_oU7fx-PPf4CZJHap1pCksq0YdbwWED8EtUGg-W5Zfex7sa3nQ1A,BR1_3277796991,16.17,13.16,11.84,3.386,1,DIAMOND
7.3284,0.4728,0.3152,0.0,0.2533,0,0.0,3.9386,0.4501,0.5627,0.0,0.2077,0.0,0.0833,,,,,,,,0,tfeI6dIEKQWhD6sd7aKD7smmmYhZiKg26JT-apOsyYCmf44fh2aOVeibWhhyJ4GzMEhQ1oc1yol36A,BR1_3265760335,16.14,12.69,8.886,0.0,0,DIAMOND
7.4286,0.4286,0.2857,0.0,0.2104,0,0.0,10.0564,0.5363,0.4023,0.1667,0.0978,0.0,0.25,7.1278,0.4455,0.5346,0.3077,0.1865,0.0,0.1429,0,uDXb-0vAutuOAen8-s5dpXEjulhwlTZF9LQKnnJBjTJJGkh1rXDKZsJYxSacVvKwuUIV6xniChIfUQ,BR1_3277197828,16.17,14.0,7.458,11.224,0,DIAMOND
9.761,0.7164,0.0896,0.5714,0.3682,4,0.0,11.3688,0.7257,0.0,0.7778,0.5404,2.0,0.5,,,,,,,,0,uDXb-0vAutuOAen8-s5dpXEjulhwlTZF9LQKnnJBjTJJGkh1rXDKZsJYxSacVvKwuUIV6xniChIfUQ,BR1_3263371650,16.14,11.167,4.134,0.0,1,DIAMOND
6.5714,0.5,0.2857,0.3077,0.161,0,0.0,8.4573,0.7167,0.43,0.2,0.1743,2.0,0.0,12.5874,0.5086,0.2543,0.3571,0.2432,1.0,0.0,0,uDXb-0vAutuOAen8-s5dpXEjulhwlTZF9LQKnnJBjTJJGkh1rXDKZsJYxSacVvKwuUIV6xniChIfUQ,BR1_3263177005,16.14,14.0,6.976,7.865,1,DIAMOND
8.9359,0.6007,0.0751,0.4286,0.2386,2,0.0,9.771,0.6739,0.3369,1.0,0.2455,0.0,0.0,,,,,,,,0,uDXb-0vAutuOAen8-s5dpXEjulhwlTZF9LQKnnJBjTJJGkh1rXDKZsJYxSacVvKwuUIV6xniChIfUQ,BR1_3262160385,16.13,13.317,2.968,0.0,1,DIAMOND
6.9191,0.2661,0.2661,0.1,0.1934,0,0.0,7.1393,0.2914,0.1457,0.4615,0.2019,0.0,0.1,6.2203,0.0,0.3274,0.125,0.1189,0.0,0.0,1,dt-HQVBDAAE6wvKhcieZo-kOoldUWL5QwjLYlFgR-RGLAKqZaiiMeWfPRpORG0gjdJylPWpIdRXcEA,BR1_3260910767,16.13,11.273,13.727,6.109,0,DIAMOND
