early_cs_per_min,early_vision_per_min,early_deaths_per_min,early_kill_participation,early_damage_share,early_solo_kills,early_objective_proximity,mid_cs_per_min,mid_vision_per_min,mid_deaths_per_min,mid_kill_participation,mid_damage_share,mid_solo_kills,mid_objective_proximity,late_cs_per_min,late_vision_per_min,late_deaths_per_min,late_kill_participation,late_damage_share,late_solo_kills,late_objective_proximity,early_first_blood_involved,puuid,match_id,patch,early_duration_min,mid_duration_min,late_duration_min,win
6.1429,0.9286,0.2857,0.3636,0.2124,5,0.0,4.8182,1.9091,0.4545,0.25,0.2753,2,0.1,3.6621,2.7781,0.6314,0.4667,0.2689,5.0,0.0,0,E_Hyj5N6NU7iTCdB2kUCdLvjMtldL52ySWByt4Z3gfp148CIsIeTXm0RMmLpDocaPF0dIgaLkVddUw,BR1_3252755654,16.12,14.0,11.0,7.919,0
5.6429,0.3571,0.1429,0.125,0.1218,1,0.25,5.6364,0.3636,0.0,0.5833,0.1931,0,0.125,5.2766,0.3104,0.0,0.4444,0.201,0.0,0.4,0,9rEmrenPzReiqkdf0Xmc41uNacC-zjkx-jfw6OlrKoWGhkg-L_KmlNdce5-o8xblCOKMN1WtO-HbqA,BR1_3252615972,16.12,14.0,11.0,3.222,1
8.1429,0.2857,0.2143,0.0909,0.1262,0,0.0,8.9608,0.3773,0.283,0.25,0.1618,0,0.0,13.3813,0.2676,0.5353,0.0,0.1644,0.0,0.0833,0,L6-pVFPDVQCqWwIG59YuHmkIouBbccpjbJPHDE4EfLA5MiMjR7b1YH4BNJB48EGiPEbRT8E9zKX-1g,BR1_3252828689,16.12,14.0,10.602,3.737,0
3.3708,0.3457,0.3457,0.4444,0.2015,1,0.0,2.2338,0.1489,0.0745,0.0,0.3294,0,0.3333,,,,,,,,0,DvetAhqYTQsHMIkPm_Z04glBwoja3pShLIYlSquvo6WM9gzzjs_0t2ez6wY0ml636ZSQ9-JmW2Lz6Q,BR1_3252786809,16.12,11.57,13.43,-9.54,0
5.7857,0.2143,0.2857,0.3333,0.2844,3,0.0,6.3636,0.4545,0.2727,0.375,0.2672,0,0.1,4.826,0.762,0.254,0.2,0.2597,0.0,0.2857,0,5KdHm2xBCmdwakKhX8Q3NMQ3oMZR2YU0pjBQzh4nB5w9tcHsiO4R_lA_qTFQRhvPtiw5KXKUhessRg,BR1_3252818300,16.12,14.0,11.0,3.937,1
5.8523,10.3186,0.077,0.2,0.215,0,0.0,5.3968,10.882,0.0885,0.2273,0.1431,0,0.25,4.9972,9.682,0.1562,0.2143,0.1258,0.0,0.125,0,66ZpwhlxOgiTXqp3DnkIGbXqdtSVXbdgtw5VoItGN000ZFUE_yxpqYQZyKbLm7MMndOkGBJkd5pV1w,BR1_3252323550,16.12,12.986,11.303,6.404,1
5.3308,0.3651,0.146,0.375,0.2389,2,0.0,5.3069,0.0884,0.4422,0.3846,0.1945,1,0.2,1.1972,0.171,0.5131,0.8,0.1864,0.0,0.1111,0,XqpqDikZBm9sH1h9vowa_mtZG20QvkdaX4O3fHKkhiiAjgzdiwv-01xuAptIvXek4wSp7_FXreiJdw,BR1_3247456885,16.11,13.694,11.306,5.847,0
0.3571,0.0,0.0,0.0,0.3403,0,,0.0,0.0,0.0,0.0,,0,,,,,,,,,0,29xoXQ5joQxQnU8ZjEJLmTNJ-JAZjJ6Ry7RYyOFap9papMZKDhdIPAcy3_A__4-OX9kQppT_J7EoNQ,BR1_3252651456,16.12,14.0,11.0,-23.623,1
6.4917,0.0755,0.5284,0.2727,0.2791,2,0.0,6.5519,0.0851,0.2553,0.875,0.3386,0,0.125,,,,,,,,0,3OoYuJZbHGIKqxWL6PrjrKtSKHnZpnGYwh_y3GrnZoFO2PCFnthu3lPrTrRb3D_-oMrSTYx80BBuIg,BR1_3250850503,16.12,13.248,11.752,-1.227,0
0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,,0,,,,,,,,,0,OjPlrZiZnXdvK2TnOKwArx2doidI3FV0Fi3voREndcA-GpYPOHb3wwJ7-mfU2gpXGmef8K73dEt6pw,BR1_3252584988,16.12,14.0,11.0,-23.775,1
