early_cs_per_min,early_vision_per_min,early_deaths_per_min,early_kill_participation,early_damage_share,early_solo_kills,early_objective_proximity,mid_cs_per_min,mid_vision_per_min,mid_deaths_per_min,mid_kill_participation,mid_damage_share,mid_solo_kills,mid_objective_proximity,late_cs_per_min,late_vision_per_min,late_deaths_per_min,late_kill_participation,late_damage_share,late_solo_kills,late_objective_proximity,early_first_blood_involved,puuid,match_id,early_duration_min,mid_duration_min,late_duration_min,win
5.5555,0.0,0.3704,0.1176,0.1785,0,0.0,6.5218,0.0,0.3478,0.1905,0.1105,0,0.1538,7.241,0.0,0.3017,0.4286,0.1171,0.0,0.2,0,Q4m0CXBC6QUdhnnMuYRhIyPBvgPzxYfIizD3NgRshN5FfrXvXk2RxMkd_3bEkLzNd_Rrl9QCw7CdEA,BR1_3252335491,13.5,11.5,6.629,1
6.2857,0.0,0.2857,0.5714,0.2531,1,0.5,7.0909,0.0,0.3636,0.4167,0.3045,3,0.2857,7.4103,0.0,0.3069,0.6333,0.3008,1.0,0.1379,1,Q4m0CXBC6QUdhnnMuYRhIyPBvgPzxYfIizD3NgRshN5FfrXvXk2RxMkd_3bEkLzNd_Rrl9QCw7CdEA,BR1_3252233091,14.0,11.0,22.806,1
6.7143,0.0,0.2857,0.4545,0.3035,3,0.0,8.1818,0.0,0.2727,0.4615,0.2671,1,0.0,7.1133,0.0,0.2332,0.5,0.3475,3.0,0.3636,0,Q4m0CXBC6QUdhnnMuYRhIyPBvgPzxYfIizD3NgRshN5FfrXvXk2RxMkd_3bEkLzNd_Rrl9QCw7CdEA,BR1_3252201919,14.0,11.0,17.151,1
8.5714,0.0,0.0714,0.375,0.2617,3,0.0,8.8182,0.0,0.1818,0.7143,0.3853,3,0.4286,9.296,0.0,0.1476,0.4,0.2131,0.0,0.3333,0,Q4m0CXBC6QUdhnnMuYRhIyPBvgPzxYfIizD3NgRshN5FfrXvXk2RxMkd_3bEkLzNd_Rrl9QCw7CdEA,BR1_3252180097,14.0,11.0,6.777,1
6.6826,0.0,0.1453,0.1111,0.1667,0,0.0,4.6292,0.0,0.3561,0.6667,0.2638,1,0.25,,,,,,,,0,UFAEfxnhGMV0tmXuI7QfeZpz-nTTxvWS4RFdKhfdHly9FTyYU_5nRoTAD9JsR_BRhyZQOVRPgVGZfw,BR1_3252831121,13.767,11.233,-4.238,0
6.4779,0.0,0.0771,0.0,0.135,0,0.0,6.0667,0.0,0.0,0.6154,0.1868,1,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ho7blAjhBR_p0E_cbM310vniSogbA8-2NB0DpNpQZ0BECGkY22V86aovuMfZnnXjxR4oBuWKqT18iQ,BR1_3248071779,12.967,12.033,2.234,0
6.768,0.0,0.0927,0.2857,0.2758,1,0.0,7.2464,0.0,0.1407,0.4545,0.2807,1,0.3077,9.1603,0.0,0.1796,0.3333,0.3626,0.0,0.2222,0,ho7blAjhBR_p0E_cbM310vniSogbA8-2NB0DpNpQZ0BECGkY22V86aovuMfZnnXjxR4oBuWKqT18iQ,BR1_3248043703,10.786,14.214,5.567,0
7.5365,0.0,0.0908,0.1667,0.1891,0,0.0,5.9459,0.0,0.1858,0.3077,0.1817,1,0.3333,4.9751,0.0,0.0,0.3333,0.203,0.0,0.5,0,ho7blAjhBR_p0E_cbM310vniSogbA8-2NB0DpNpQZ0BECGkY22V86aovuMfZnnXjxR4oBuWKqT18iQ,BR1_3248031596,11.013,10.764,2.211,0
8.5428,0.0,0.1486,0.5714,0.2241,2,0.0,4.4776,0.0,0.4071,0.4,0.2343,0,0.25,3.1585,0.0,0.6142,0.6,0.2393,4.0,0.2857,0,POLOxsoTyhTTtxWdYcD4n4YsiYgwL5JGlAOkQLkQmIvPAG0AGBvPxBMCgHsf2S0O1KrsYiQ1gSAaiA,BR1_3252677577,13.462,9.827,11.398,0
0.5,0.0,0.0,0.0,0.3026,0,,0.0,0.0,0.0,0.0,,0,,,,,,,,,0,POLOxsoTyhTTtxWdYcD4n4YsiYgwL5JGlAOkQLkQmIvPAG0AGBvPxBMCgHsf2S0O1KrsYiQ1gSAaiA,BR1_3252650103,14.0,11.0,-23.445,0
